,amount,commission,sid,status,time,symbol
1284,-300,9.048,2010000156,1,2015/12/25,600180
1285,-100,3.0602,2010000171,1,2015/12/25,600196
1286,-300,15.6156,2010000279,1,2015/12/25,600315
1287,-200,12.6282,2010000381,1,2015/12/25,600446
1288,-700,10.283,2010000477,1,2015/12/25,600565
1289,-200,12.1394,2010000577,1,2015/12/25,600666
1290,-100,1.3585,2010000855,1,2015/12/25,601169
1291,-500,5.8045,2010000996,1,2015/12/25,000069
1292,-200,3.198,2010001278,1,2015/12/25,000783
1293,-300,5.6355,2010001447,1,2015/12/25,002004
1294,-1300,87.4575,2010003603,1,2015/12/25,300070
1295,-200,9.3756,2010003622,1,2015/12/25,002399
1296,-100,2.1736,2010000059,1,2015/12/28,600074
1297,1200,7.6968,2010000089,1,2015/12/28,600104
1298,900,6.156,2010000156,1,2015/12/28,600180
1299,800,5.6448,2010000171,1,2015/12/28,600196
1300,700,8.4483,2010000279,1,2015/12/28,600315
1301,-400,24.6428,2010000381,1,2015/12/28,600446
1302,1100,4.5111,2010000446,1,2015/12/25,600528
1303,2400,9.8424,2010000446,1,2015/12/28,600528
1304,1400,4.9056,2010000477,1,2015/12/28,600565
1305,300,4.3101,2010000577,1,2015/12/28,600666
1306,1400,9.4206,2010000650,1,2015/12/28,600739
1307,3700,11.8659,2010000855,1,2015/12/28,601169
1308,4000,10.716,2010000996,1,2015/12/28,000069
1309,600,2.169,2010001017,1,2015/12/25,000402
1310,2900,10.4835,2010001017,1,2015/12/28,000402
1311,3900,11.0331,2010001083,1,2015/12/25,000540
1312,600,0.5922,2010001225,1,2015/12/25,000709
1313,9900,9.7713,2010001225,1,2015/12/28,000709
1314,1600,5.976,2010001278,1,2015/12/28,000783
1315,300,2.4507,2010001333,1,2015/12/25,000858
1316,1000,8.169,2010001333,1,2015/12/28,000858
1317,1600,6.984,2010001447,1,2015/12/28,002004
1318,100,1.1736,2010003325,1,2015/12/25,300003
1319,200,2.3472,2010003325,1,2015/12/28,300003
1320,200,0.831,2010003349,1,2015/12/28,002303
1321,100,0.459,2010003539,1,2015/12/25,300058
1322,300,1.377,2010003539,1,2015/12/28,300058
1323,400,1.104,2010003570,1,2015/12/25,601158
1324,2800,7.728,2010003570,1,2015/12/28,601158
1325,600,9.423,2010003603,1,2015/12/28,300070
1326,300,3.2121,2010003622,1,2015/12/28,002399
1327,100,1.839,2010005044,1,2015/12/25,300288
1328,600,11.034,2010005044,1,2015/12/28,300288
1329,-100,6.2374,2010000577,1,2015/12/29,600666
1330,-800,11.0552,2010000855,1,2015/12/29,601169
1331,-56700,686.9772,2010001083,1,2015/12/29,000540
1332,-2300,9.9268,2010001225,1,2015/12/29,000709
1333,-100,1.6211,2010001278,1,2015/12/29,000783
1334,-400,14.3312,2010001333,1,2015/12/29,000858
1335,-200,3.666,2010003349,1,2015/12/29,002303
1336,-1600,31.5952,2010003539,1,2015/12/29,300058
1337,100,0.4941,2010000059,1,2015/12/29,600074
1338,-700,14.9877,2010000059,1,2015/12/30,600074
1339,200,1.2732,2010000089,1,2015/12/30,600104
1340,600,3.9744,2010000156,1,2015/12/29,600180
1341,-200,5.7408,2010000156,1,2015/12/30,600180
1342,200,1.4094,2010000171,1,2015/12/29,600196
1343,100,0.7047,2010000171,1,2015/12/30,600196
1344,200,2.3694,2010000279,1,2015/12/30,600315
1345,300,4.4271,2010000381,1,2015/12/29,600446
1346,-600,38.3682,2010000381,1,2015/12/30,600446
1347,700,3.0093,2010000446,1,2015/12/29,600528
1348,500,2.1495,2010000446,1,2015/12/30,600528
1349,200,1.356,2010000650,1,2015/12/29,600739
1350,500,1.5795,2010000855,1,2015/12/30,601169
1351,500,1.32,2010000996,1,2015/12/29,000069
1352,700,1.848,2010000996,1,2015/12/30,000069
1353,1100,3.8049,2010001017,1,2015/12/29,000402
1354,-600,2.5974,2010001225,1,2015/12/30,000709
1355,-100,3.5464,2010001333,1,2015/12/30,000858
1356,200,2.316,2010003325,1,2015/12/29,300003
1357,-500,8.8725,2010003349,1,2015/12/30,002303
1358,400,1.7676,2010003539,1,2015/12/30,300058
1359,200,0.5598,2010003570,1,2015/12/29,601158
1360,300,3.1833,2010003622,1,2015/12/29,002399
